Centres_ID,ESG_UNSDG_NO,UNSDG_ESG,Category,Education,KPI,Member_total,Percentage_YTD,Percentage_2022,Amount,Property_Area
HK02,Social,Customer Engagement,Children,Primary,Customer Engagement,265,0.9,0.91,-,Hong Kong Island
HK03,3,Good Health and Well-being,Youth,Secondary,Youth-care,199,0.89,0.89,-,Hong Kong Island
HK03,3,Good Health and Well-being,Elderly,Graduate,Elderly-care,209,0.93,0.93,-,Hong Kong Island
HK03,4,Quality Education,Adult,Graduate,Outreach Training,385,0.9,0.9,-,Hong Kong Island
HK03,4,Quality Education,Elderly,Graduate,Outreach Training,310,0.91,0.93,-,Hong Kong Island
HK03,4,Quality Education,Children,Primary,Growth Ouput,484,0.92,0.93,-,Hong Kong Island
HK03,5,Gender Equality,Youth,Tertiary,Women in workplace,192,0.45,0.44,-,Hong Kong Island
HK03,5,Gender Equality,Elderly,Graduate,Women in workplace,463,0.45,0.46,-,Hong Kong Island
HK03,5,Gender Equality,Youth,Secondary,Gender Equality,353,0.5,0.5,-,Hong Kong Island
HK03,8,Decent Work and Economic Growth,Elderly,Graduate,Decent workplace,175,0.9,0.9,-,Hong Kong Island
HK03,8,Decent Work and Economic Growth,Adult,Graduate,Decent workplace,385,0.94,0.92,-,Hong Kong Island
HK03,10,Reduce Inequalities,Elderly,Graduate,Diversity and inclusion,462,0.9,0.9,-,Hong Kong Island
HK03,10,Reduce Inequalities,Adult,Graduate,Clear equality policies,223,0.93,0.91,-,Hong Kong Island
HK03,16,"Peace, Justice and Strong Institutions",Adult,Graduate,Strong Institutions,116,0.9,0.9,-,Hong Kong Island
HK03,16,"Peace, Justice and Strong Institutions",Youth,Secondary,Peace,378,0.93,0.92,-,Hong Kong Island
HK03,17,Partnerships for the Goals,Elderly,Graduate,Business Partners,467,0.9,0.9,-,Hong Kong Island
HK03,17,Partnerships for the Goals,Elderly,Graduate,Service Partners,178,0.91,0.92,-,Hong Kong Island
HK03,Environment,Material Sourcing and Management,Children,Primary,Total material usage,418,0.9,0.9,200,Hong Kong Island
HK03,Goverance,Shareholder rights,Youth,Secondary,Shareholder rights,380,0.9,0.88,-,Hong Kong Island
HK03,Social,Supplier Engagement,Adult,Graduate,Supplier Engagement,174,0.9,0.89,-,Hong Kong Island
HK04,3,Good Health and Well-being,Adult,Graduate,Well-being,388,0.91,0.9,-,Hong Kong Island
HK04,3,Good Health and Well-being,Adult,Graduate,Well-being,274,0.92,0.92,-,Hong Kong Island
HK04,4,Quality Education,Children,Primary,Outreach Training,287,0.89,0.89,-,Hong Kong Island
HK04,4,Quality Education,Elderly,Graduate,Growth Ouput,193,0.91,0.91,-,Hong Kong Island
HK04,5,Gender Equality,Elderly,Graduate,Women in workplace,313,0.45,0.45,-,Hong Kong Island
HK04,5,Gender Equality,Adult,Graduate,Gender Equality,443,0.9,0.9,-,Hong Kong Island
HK04,5,Gender Equality,Adult,Graduate,Gender Equality,267,0.9,0.9,-,Hong Kong Island
HK04,8,Decent Work and Economic Growth,Adult,Not Graduate,Green Economy,355,0.9,0.9,-,Hong Kong Island
HK04,8,Decent Work and Economic Growth,Adult,Graduate,Green Economy,108,0.9,0.9,-,Hong Kong Island
HK04,8,Decent Work and Economic Growth,Adult,Not Graduate,Green Economy,202,0.94,0.93,-,Hong Kong Island
HK04,10,Reduce Inequalities,Elderly,Graduate,Clear equality policies,144,0.91,0.89,-,Hong Kong Island
HK04,10,Reduce Inequalities,Adult,Graduate,Social Integration,312,0.94,0.91,-,Hong Kong Island
HK04,16,"Peace, Justice and Strong Institutions",Adult,Graduate,Justice,276,0.89,0.89,-,Hong Kong Island
HK04,16,"Peace, Justice and Strong Institutions",Youth,Secondary,Justice,198,0.94,0.92,-,Hong Kong Island
HK04,17,Partnerships for the Goals,Elderly,Graduate,Service Partners,410,0.9,0.9,-,Hong Kong Island
HK04,17,Partnerships for the Goals,Elderly,Not Graduate,Business Partners,313,0.91,0.9,-,Hong Kong Island
HK04,Environment,SCOPE 1  direct emissions ,Adult,Graduate,tCO2e,371,0.9,0.9,515,Hong Kong Island
HK04,Goverance,Business Transparency,Elderly,Graduate,Business Transparency,184,0.9,0.91,-,Hong Kong Island
HK04,Social,Community Engagement,Youth,Secondary,Community Engagement,122,0.9,0.88,-,Hong Kong Island
HK05,3,Good Health and Well-being,Adult,Not Graduate,Well-being,288,0.9,0.9,-,Hong Kong Island
HK05,3,Good Health and Well-being,Adult,Not Graduate,Well-being,410,0.91,0.88,-,Hong Kong Island
HK05,4,Quality Education,Adult,Graduate,Online Learning,252,0.9,0.9,-,Hong Kong Island
HK05,4,Quality Education,Elderly,Graduate,Outreach Training,364,0.92,0.92,-,Hong Kong Island
HK05,5,Gender Equality,Adult,Not Graduate,Women in workplace,406,0.45,0.44,-,Hong Kong Island
HK05,5,Gender Equality,Youth,University,Gender Equality,225,0.5,0.51,-,Hong Kong Island
HK05,8,Decent Work and Economic Growth,Children,Primary,Green Economy,160,0.91,0.88,-,Hong Kong Island
HK05,8,Decent Work and Economic Growth,Adult,Graduate,Green Economy,390,0.92,0.91,-,Hong Kong Island
HK05,8,Decent Work and Economic Growth,Elderly,Graduate,"Reduce, Reuse, Recycle",413,0.92,0.92,-,Hong Kong Island
HK05,10,Reduce Inequalities,Youth,Secondary,Social Integration,120,0.9,0.9,-,Hong Kong Island
HK05,10,Reduce Inequalities,Elderly,Graduate,Social Integration,441,0.9,0.9,-,Hong Kong Island
HK05,10,Reduce Inequalities,Adult,Graduate,Social Integration,457,0.94,0.93,-,Hong Kong Island
HK05,16,"Peace, Justice and Strong Institutions",Elderly,Graduate,Justice,277,0.9,0.9,-,Hong Kong Island
HK05,16,"Peace, Justice and Strong Institutions",Children,Primary,Peace,377,0.94,0.92,-,Hong Kong Island
HK05,17,Partnerships for the Goals,Elderly,Graduate,Capacity Development,143,0.89,0.89,-,Hong Kong Island
HK05,17,Partnerships for the Goals,Elderly,Not Graduate,Decent workplace,168,0.92,0.93,-,Hong Kong Island
HK05,Environment,SCOPE 2 indirect paid emissions ,Youth,Secondary,tCO2e,320,0.9,0.9,12983,Hong Kong Island
HK05,Goverance,Government related certification,Children,Primary,Government related certification,415,0.9,0.92,-,Hong Kong Island
HK05,Social,Social related certificate,Elderly,Graduate,Social related certificate,360,0.9,0.88,3,Hong Kong Island
HK06,3,Good Health and Well-being,Adult,Graduate,Well-being,233,0.9,0.9,-,Hong Kong Island
HK06,3,Good Health and Well-being,Children,Primary,Green Economy,459,0.94,0.92,-,Hong Kong Island
HK06,4,Quality Education,Adult,Graduate,Remote Learning,222,0.9,0.9,-,Hong Kong Island
HK06,4,Quality Education,Children,Primary,Online Learning,127,0.93,0.93,-,Hong Kong Island
HK06,5,Gender Equality,Elderly,Not Graduate,Women in workplace,297,0.45,0.43,-,Hong Kong Island
HK06,5,Gender Equality,Adult,Graduate,Gender Equality,363,0.93,0.92,-,Hong Kong Island
HK06,8,Decent Work and Economic Growth,Children,Primary,Sustainable Service,485,0.91,0.91,-,Hong Kong Island
HK06,8,Decent Work and Economic Growth,Elderly,Graduate,"Reduce, Reuse, Recycle",138,0.91,0.92,-,Hong Kong Island
HK06,10,Reduce Inequalities,Youth,Tertiary,Diversity and inclusion,233,0.89,0.89,-,Hong Kong Island
HK06,10,Reduce Inequalities,Youth,Secondary,Diversity and inclusion,110,0.93,0.92,-,Hong Kong Island
HK06,10,Reduce Inequalities,Elderly,Graduate,Clear equality policies,240,0.94,0.93,-,Hong Kong Island
HK06,16,"Peace, Justice and Strong Institutions",Children,Primary,Justice,285,0.91,0.93,-,Hong Kong Island
HK06,16,"Peace, Justice and Strong Institutions",Elderly,Graduate,Peace,267,0.94,0.93,-,Hong Kong Island
HK06,16,"Peace, Justice and Strong Institutions",Elderly,Graduate,Justice,248,0.94,0.93,-,Hong Kong Island
HK06,17,Partnerships for the Goals,Adult,Graduate,Business Partners,249,0.89,0.89,-,Hong Kong Island
HK06,17,Partnerships for the Goals,Adult,Graduate,Sustainable Service,148,0.9,0.9,-,Hong Kong Island
HK06,Environment,SCOPE 3 indirect emissionssion supplier,Elderly,Graduate,tCO2e,298,0.9,0.9,413,Hong Kong Island
HK06,Goverance,Business stablity,Adult,Graduate,Business stablity,262,0.9,0.9,-,Hong Kong Island
HK06,Social,Product and services,Children,Primary,Product and services,280,0.9,0.91,-,Hong Kong Island
HK07,3,Good Health and Well-being,Elderly,Graduate,Decent workplace,499,0.85,0.85,-,Hong Kong Island
HK07,3,Good Health and Well-being,Youth,Secondary,Covid-19,234,0.91,0.9,-,Hong Kong Island
HK07,4,Quality Education,Adult,Graduate,Outbound Training,201,0.85,0.85,-,Hong Kong Island
HK07,5,Gender Equality,Elderly,Graduate,Women in workplace,330,0.45,0.43,-,Hong Kong Island
HK07,5,Gender Equality,Elderly,Graduate,Gender Equality,364,0.91,0.9,-,Hong Kong Island
HK07,8,Decent Work and Economic Growth,Elderly,Graduate,Fair employment,467,0.85,0.85,-,Hong Kong Island
HK07,8,Decent Work and Economic Growth,Adult,Graduate,Decent workplace,155,0.89,0.89,-,Hong Kong Island
HK07,10,Reduce Inequalities,Adult,Graduate,Diversity and inclusion,113,0.92,0.91,-,Hong Kong Island
HK07,10,Reduce Inequalities,Youth,University,Social Integration,260,0.94,0.93,-,Hong Kong Island
HK07,16,"Peace, Justice and Strong Institutions",Adult,Graduate,Peace,110,0.89,0.89,-,Hong Kong Island
HK07,16,"Peace, Justice and Strong Institutions",Adult,Graduate,Peace,399,0.9,0.9,-,Hong Kong Island
HK07,16,"Peace, Justice and Strong Institutions",Elderly,Graduate,Peace,418,0.94,0.93,-,Hong Kong Island
HK07,17,Partnerships for the Goals,Children,Primary,Business Partners,236,0.89,0.89,-,Hong Kong Island
HK07,17,Partnerships for the Goals,Elderly,Graduate,Capacity Development,357,0.9,0.9,-,Hong Kong Island
HK07,17,Partnerships for the Goals,Adult,Graduate,Sustainable Service,157,0.9,0.9,-,Hong Kong Island
HK07,Environment,Waste,Children,Primary,Tonnes,370,0.9,0.9,1400,Hong Kong Island
HK07,Goverance,Compliance,Youth,Secondary,Compliance,199,0.9,0.9,-,Hong Kong Island
HK07,Social,Digital transformation,Adult,Graduate,Digital transformation,494,0.9,0.92,3,Hong Kong Island
HK08,3,Good Health and Well-being,Youth,Secondary,Youth-care,274,0.9,0.9,-,Hong Kong Island
HK08,3,Good Health and Well-being,Children,Primary,Children-care,281,0.9,0.9,-,Hong Kong Island
HK08,3,Good Health and Well-being,Youth,Tertiary,Covid-19,486,0.94,0.93,-,Hong Kong Island
HK08,4,Quality Education,Adult,Not Graduate,Remote Learning,131,0.85,0.85,-,Hong Kong Island
HK08,4,Quality Education,Elderly,Graduate,F2F Learning,435,0.9,0.9,-,Hong Kong Island
HK08,5,Gender Equality,Adult,Graduate,Gender Equality,251,0.9,0.9,-,Hong Kong Island
HK08,5,Gender Equality,Elderly,Graduate,Gender Equality,183,0.9,0.9,-,Hong Kong Island
HK08,8,Decent Work and Economic Growth,Youth,Secondary,"Reduce, Reuse, Recycle",181,0.91,0.91,-,Hong Kong Island
HK08,8,Decent Work and Economic Growth,Elderly,Graduate,Fair employment,365,0.95,0.92,-,Hong Kong Island
HK08,10,Reduce Inequalities,Elderly,Graduate,Task delegation,154,0.89,0.89,-,Hong Kong Island
HK08,10,Reduce Inequalities,Adult,Graduate,Social Integration,232,0.94,0.93,-,Hong Kong Island
HK08,16,"Peace, Justice and Strong Institutions",Elderly,Not Graduate,Justice,344,0.9,0.9,-,Hong Kong Island
HK08,16,"Peace, Justice and Strong Institutions",Adult,Graduate,Justice,214,0.9,0.9,-,Hong Kong Island
HK08,17,Partnerships for the Goals,Elderly,Not Graduate,Service Partners,106,0.91,0.89,-,Hong Kong Island
HK08,17,Partnerships for the Goals,Adult,Graduate,Capacity Development,293,0.91,0.88,-,Hong Kong Island
HK08,17,Partnerships for the Goals,Adult,Graduate,Sustainable Service,212,0.94,0.93,-,Hong Kong Island
HK08,Environment,Hazards,Adult,Graduate,Tonnes,302,0.9,0.9,300,Hong Kong Island
HK08,Goverance,Business Ethics,Elderly,Graduate,Business Ethics,310,0.9,0.9,-,Hong Kong Island
HK08,Social,Health and safety,Youth,Secondary,Health and safety,155,0.9,0.93,4,Hong Kong Island
HK09,3,Good Health and Well-being,Elderly,Graduate,Elderly-care,306,0.89,0.89,-,Hong Kong Island
HK09,3,Good Health and Well-being,Adult,Not Graduate,Well-being,256,0.92,0.92,-,Hong Kong Island
HK09,3,Good Health and Well-being,Children,Primary,Children-care,279,0.93,0.91,-,Hong Kong Island
HK09,4,Quality Education,Adult,Not Graduate,Remote Learning,369,0.9,0.9,-,Hong Kong Island
HK09,4,Quality Education,Youth,Secondary,Outreach Training,435,0.91,0.91,-,Hong Kong Island
HK09,4,Quality Education,Adult,Graduate,F2F Learning,133,0.93,0.92,-,Hong Kong Island
HK09,5,Gender Equality,Elderly,Graduate,Women in workplace,152,0.5,0.51,-,Hong Kong Island
HK09,5,Gender Equality,Adult,Not Graduate,Gender Equality,114,0.94,0.93,-,Hong Kong Island
HK09,8,Decent Work and Economic Growth,Elderly,Graduate,Growth Ouput,131,0.9,0.9,-,Hong Kong Island
HK09,8,Decent Work and Economic Growth,Elderly,Graduate,Decent workplace,493,0.9,0.9,-,Hong Kong Island
HK09,10,Reduce Inequalities,Adult,Not Graduate,Clear equality policies,206,0.89,0.89,-,Hong Kong Island
HK09,10,Reduce Inequalities,Adult,Graduate,Task delegation,490,0.94,0.93,-,Hong Kong Island
HK09,16,"Peace, Justice and Strong Institutions",Elderly,Graduate,Peace,422,0.89,0.89,-,Hong Kong Island
HK09,16,"Peace, Justice and Strong Institutions",Elderly,Graduate,Peace,195,0.9,0.9,-,Hong Kong Island
HK09,17,Partnerships for the Goals,Elderly,Not Graduate,Decent workplace,423,0.91,0.88,-,Hong Kong Island
HK09,17,Partnerships for the Goals,Adult,Graduate,Capacity Development,481,0.92,0.93,-,Hong Kong Island
HK09,Environment,Land Use and Biodiversity,Youth,Secondary,Total usage,402,0.9,0.9,200,Hong Kong Island
HK09,Goverance,Board Accountablity,Children,Primary,Board Accountablity,296,0.9,0.9,-,Hong Kong Island
HK09,Social,Diversity and Inclusion,Elderly,Graduate,Diversity and Inclusion,399,0.9,0.9,-,Hong Kong Island
HK10,3,Good Health and Well-being,Elderly,Not Graduate,Elderly-care,168,0.9,0.9,-,Hong Kong Island
HK10,3,Good Health and Well-being,Adult,Graduate,Well-being,377,0.9,0.9,-,Hong Kong Island
HK10,4,Quality Education,Youth,University,Online Learning,235,0.89,0.89,-,Hong Kong Island
HK10,4,Quality Education,Adult,Graduate,Outreach Training,204,0.89,0.89,-,Hong Kong Island
HK10,4,Quality Education,Elderly,Not Graduate,Remote Learning,392,0.9,0.9,-,Hong Kong Island
HK10,5,Gender Equality,Elderly,Graduate,Women in workplace,419,0.5,0.49,-,Hong Kong Island
HK10,5,Gender Equality,Elderly,Not Graduate,Gender Equality,130,0.89,0.89,-,Hong Kong Island
HK10,5,Gender Equality,Adult,Graduate,Gender Equality,338,0.9,0.9,-,Hong Kong Island
HK10,8,Decent Work and Economic Growth,Youth,Secondary,Growth Ouput,203,0.9,0.9,-,Hong Kong Island
HK10,8,Decent Work and Economic Growth,Elderly,Graduate,Sustainable Service,230,0.9,0.9,-,Hong Kong Island
HK10,10,Reduce Inequalities,Adult,Graduate,Diversity and inclusion,260,0.89,0.89,-,Hong Kong Island
HK10,10,Reduce Inequalities,Adult,Graduate,Task delegation,147,0.92,0.92,-,Hong Kong Island
HK10,16,"Peace, Justice and Strong Institutions",Elderly,Graduate,Strong Institutions,145,0.9,0.9,-,Hong Kong Island
HK10,16,"Peace, Justice and Strong Institutions",Elderly,Graduate,Strong Institutions,244,0.91,0.92,-,Hong Kong Island
HK10,17,Partnerships for the Goals,Adult,Not Graduate,Capacity Development,454,0.89,0.89,-,Hong Kong Island
HK10,17,Partnerships for the Goals,Adult,Graduate,Business Partners,158,0.9,0.9,-,Hong Kong Island
HK10,Environment,Climate Risk,Elderly,Graduate,Compliance,191,0.9,0.9,-,Hong Kong Island
HK10,Goverance,Shareholder rights,Adult,Graduate,Shareholder rights,492,0.9,0.9,-,Hong Kong Island
HK10,Social,Data privacy,Children,Primary,Data privacy,355,0.9,0.9,-,Hong Kong Island
KL01,3,Good Health and Well-being,Elderly,Graduate,Elderly-care,334,0.89,0.89,-,Kowloon
KL01,3,Good Health and Well-being,Children,Primary,Children-care,137,0.9,0.9,-,Kowloon
KL01,4,Quality Education,Elderly,Graduate,Remote Learning,253,0.9,0.9,-,Kowloon
KL01,4,Quality Education,Adult,Not Graduate,Outbound Training,245,0.91,0.93,-,Kowloon
KL01,5,Gender Equality,Adult,Not Graduate,Women in workplace,456,0.51,0.52,-,Kowloon
KL01,5,Gender Equality,Adult,Graduate,Women in workplace,254,0.52,0.53,-,Kowloon
KL01,5,Gender Equality,Adult,Graduate,Gender Equality,201,0.85,0.85,-,Kowloon
KL01,8,Decent Work and Economic Growth,Adult,Graduate,Sustainable Service,497,0.9,0.9,-,Kowloon
KL01,8,Decent Work and Economic Growth,Children,Primary,Sustainable Service,214,0.9,0.9,-,Kowloon
KL01,8,Decent Work and Economic Growth,Adult,Graduate,"Reduce, Reuse, Recycle",314,0.92,0.91,-,Kowloon
KL01,10,Reduce Inequalities,Adult,Graduate,Clear equality policies,357,0.9,0.9,-,Kowloon
KL01,10,Reduce Inequalities,Adult,Not Graduate,Diversity and inclusion,209,0.93,0.91,-,Kowloon
KL01,16,"Peace, Justice and Strong Institutions",Elderly,Graduate,Justice,142,0.9,0.9,-,Kowloon
KL01,16,"Peace, Justice and Strong Institutions",Elderly,Graduate,Peace,392,0.94,0.93,-,Kowloon
KL01,17,Partnerships for the Goals,Children,Primary,Sustainable Service,359,0.93,0.93,-,Kowloon
KL01,17,Partnerships for the Goals,Adult,Graduate,Business Partners,231,0.93,0.92,-,Kowloon
KL01,Environment,Climate Strategy,Children,Primary,Compliance,359,0.9,0.9,-,Kowloon
KL01,Goverance,Business Transparency,Youth,Secondary,Business Transparency,275,0.9,0.9,-,Kowloon
KL01,Social,Human Capital,Adult,Graduate,Human Capital,108,0.9,0.91,400,Kowloon
KL02,3,Good Health and Well-being,Children,Primary,Covid-19,374,0.89,0.89,-,Kowloon
KL02,3,Good Health and Well-being,Youth,Secondary,Covid-19,160,0.9,0.9,-,Kowloon
KL02,4,Quality Education,Elderly,Graduate,Growth Ouput,461,0.89,0.89,-,Kowloon
KL02,4,Quality Education,Adult,Not Graduate,Online Learning,430,0.92,0.93,-,Kowloon
KL02,5,Gender Equality,Children,Primary,Women in workplace,306,0.53,0.53,-,Kowloon
KL02,5,Gender Equality,Elderly,Graduate,Gender Equality,381,0.92,0.92,-,Kowloon
KL02,8,Decent Work and Economic Growth,Elderly,Graduate,"Reduce, Reuse, Recycle",271,0.9,0.9,-,Kowloon
KL02,8,Decent Work and Economic Growth,Adult,Graduate,Green Economy,463,0.9,0.9,-,Kowloon
KL02,8,Decent Work and Economic Growth,Elderly,Graduate,Growth Ouput,272,0.94,0.93,-,Kowloon
KL02,10,Reduce Inequalities,Elderly,Not Graduate,Clear equality policies,345,0.89,0.89,-,Kowloon
KL02,10,Reduce Inequalities,Youth,Tertiary,Clear equality policies,131,0.91,0.92,-,Kowloon
KL02,10,Reduce Inequalities,Elderly,Graduate,Diversity and inclusion,250,0.91,0.91,-,Kowloon
KL02,16,"Peace, Justice and Strong Institutions",Elderly,Graduate,Justice,377,0.9,0.9,-,Kowloon
KL02,16,"Peace, Justice and Strong Institutions",Elderly,Graduate,Justice,360,0.94,0.93,-,Kowloon
KL02,17,Partnerships for the Goals,Adult,Graduate,Social Partners,154,0.9,0.9,-,Kowloon
KL02,17,Partnerships for the Goals,Adult,Graduate,Decent workplace,334,0.94,0.93,-,Kowloon
KL02,Environment,Environment Certificates,Adult,Graduate,Achievement,101,0.9,0.9,2,Kowloon
KL02,Goverance,Government related certification,Elderly,Graduate,Government related certification,195,0.9,0.9,-,Kowloon
KL02,Social,Customer Engagement,Youth,Secondary,Customer Engagement,438,0.9,0.89,-,Kowloon
KL03,3,Good Health and Well-being,Elderly,Graduate,Elderly-care,314,0.9,0.9,-,Kowloon
KL03,3,Good Health and Well-being,Elderly,Graduate,Covid-19,159,0.91,0.92,-,Kowloon
KL03,4,Quality Education,Youth,Tertiary,Outbound Training,426,0.9,0.9,-,Kowloon
KL03,4,Quality Education,Adult,Not Graduate,Online Learning,489,0.93,0.92,-,Kowloon
KL03,5,Gender Equality,Children,Primary,Women in workplace,331,0.54,0.54,-,Kowloon
KL03,5,Gender Equality,Adult,Graduate,Gender Equality,281,0.94,0.93,-,Kowloon
KL03,8,Decent Work and Economic Growth,Youth,Secondary,Green Economy,264,0.93,0.92,-,Kowloon
KL03,8,Decent Work and Economic Growth,Children,Primary,"Reduce, Reuse, Recycle",234,0.93,0.93,-,Kowloon
KL03,10,Reduce Inequalities,Adult,Graduate,Task delegation,426,0.85,0.85,-,Kowloon
KL03,10,Reduce Inequalities,Children,Primary,Clear equality policies,393,0.9,0.9,-,Kowloon
KL03,10,Reduce Inequalities,Children,Primary,Task delegation,345,0.93,0.93,-,Kowloon
KL03,16,"Peace, Justice and Strong Institutions",Children,Primary,Strong Institutions,379,0.89,0.89,-,Kowloon
KL03,16,"Peace, Justice and Strong Institutions",Elderly,Graduate,Peace,221,0.9,0.9,-,Kowloon
KL03,16,"Peace, Justice and Strong Institutions",Elderly,Graduate,Strong Institutions,437,0.93,0.91,-,Kowloon
KL03,17,Partnerships for the Goals,Adult,Not Graduate,Business Partners,200,0.9,0.9,-,Kowloon
